copy	genus	GCF
1	Acinetobacter baumannii	302
1	Acinetobacter bereziniae	3
1	Acinetobacter calcoaceticus	5
1	Acinetobacter guillouiae	2
1	Acinetobacter haemolyticus	14
1	Acinetobacter indicus	19
1	Acinetobacter johnsonii	19
1	Acinetobacter junii	9
1	Acinetobacter lactucae	2
1	Acinetobacter lwoffii	11
1	Acinetobacter nosocomialis	11
1	Acinetobacter pittii	32
1	Acinetobacter radioresistens	5
1	Acinetobacter schindleri	6
1	Acinetobacter seifertii	25
1	Acinetobacter soli	2
1	Acinetobacter towneri	6
1	Acinetobacter ursingii	3
1	Acinetobacter variabilis	4
1	Acinetobacter wuhouensis	2
1	Azotobacter chroococcum	3
1	Azotobacter vinelandii	3
1	Cellvibrio japonicus	4
1	Coxiella burnetii	1
1	Escherichia coli	2
1	Halomonas hydrothermalis	1
1	Halomonas meridiana	3
1	Halomonas piezotolerans	2
1	Halomonas titanicae	3
1	Halomonas venusta	3
1	Idiomarina loihiensis	2
1	Klebsiella pneumoniae	1
1	Marinobacter salarius	2
1	Marinomonas primoryensis	2
1	Pseudomonas aeruginosa	3
1	Pseudomonas alcaligenes	3
1	Pseudomonas alkylphenolica	2
1	Pseudomonas amygdali	8
1	Pseudomonas antarctica	2
1	Pseudomonas arsenicoxydans	2
1	Pseudomonas asiatica	2
1	Pseudomonas atacamensis	2
1	Pseudomonas azotoformans	4
1	Pseudomonas balearica	3
1	Pseudomonas brassicacearum	8
1	Pseudomonas cannabina	2
1	Pseudomonas cerasi	2
1	Pseudomonas chlororaphis	59
1	Pseudomonas cichorii	3
1	Pseudomonas congelans	2
1	Pseudomonas coronafaciens	3
1	Pseudomonas corrugata	3
1	Pseudomonas entomophila	3
1	Pseudomonas fluorescens	38
1	Pseudomonas fragi	6
1	Pseudomonas frederiksbergensis	3
1	Pseudomonas fulva	4
1	Pseudomonas granadensis	2
1	Pseudomonas juntendi	2
1	Pseudomonas koreensis	3
1	Pseudomonas kribbensis	2
1	Pseudomonas libanensis	2
1	Pseudomonas lundensis	3
1	Pseudomonas lurida	2
1	Pseudomonas mandelii	3
1	Pseudomonas mediterranea	2
1	Pseudomonas mendocina	7
1	Pseudomonas monteilii	9
1	Pseudomonas moraviensis	2
1	Pseudomonas mosselii	3
1	Pseudomonas mucidolens	2
1	Pseudomonas ogarae	2
1	Pseudomonas orientalis	6
1	Pseudomonas oryzihabitans	3
1	Pseudomonas otitidis	3
1	Pseudomonas parafulva	3
1	Pseudomonas plecoglossicida	3
1	Pseudomonas poae	3
1	Pseudomonas protegens	23
1	Pseudomonas psychrophila	2
1	Pseudomonas psychrotolerans	3
1	Pseudomonas putida	47
1	Pseudomonas rhodesiae	4
1	Pseudomonas savastanoi	5
1	Pseudomonas sessilinigenes	2
1	Pseudomonas simiae	4
1	Pseudomonas stutzeri	30
1	Pseudomonas synxantha	11
1	Pseudomonas syringae	39
1	Pseudomonas taetrolens	2
1	Pseudomonas thivervalensis	3
1	Pseudomonas tolaasii	2
1	Pseudomonas trivialis	2
1	Pseudomonas umsongensis	3
1	Pseudomonas veronii	4
1	Pseudomonas viridiflava	7
1	Pseudomonas yamanorum	3
1	Salmonella enterica	1
1	Shewanella algae	22
1	Shewanella baltica	11
1	Shewanella cyperi	2
1	Shewanella decolorationis	2
1	Shewanella marisflavi	2
1	Shewanella oneidensis	2
1	Shewanella putrefaciens	9
1	Shigella flexneri	1
1	Thalassolituus oleivorans	3
1	Thiopseudomonas alkaliphila	7
2	Pseudomonas aeruginosa	386
2	Pseudomonas citronellolis	2
2	Pseudomonas knackmussii	2
2	Pseudomonas lalkuanensis	2
